id	x	y	impact	nstart	nend	prob
gill_1	717362.2835	6231041.09	3	146	194	0
gill_2	713997.0091	6237042.673	3	146	194	0
gill_3	718432.7547	6233425.337	3	146	194	0
gill_4	716842.816	6233941.111	3	146	194	0
gill_5	713950.0347	6235419.466	3	146	194	0.5
gill_6	714467.3175	6237266.317	3	146	194	0
gill_7	717570.2023	6234134.026	3	146	194	0
gill_8	718694.9316	6232390.768	3	146	194	0.5
gill_9	718267.8615	6230172.318	3	146	194	0
gill_10	715266.6963	6232127.285	3	146	194	0.5
gill_11	715042.465	6234116.668	3	146	194	0
gill_12	726388.5801	6194127.29	3	194	242	0
gill_13	725725.1672	6198695.528	3	194	242	0
gill_14	728040.9592	6193332.898	3	194	242	0
gill_15	723572.727	6197696.458	3	194	242	0
gill_16	726557.0864	6193621.195	3	194	242	0.5
gill_17	730294.0395	6206957.042	3	194	242	0
gill_18	729327.21	6208371.182	3	194	242	0.5
gill_19	725446.5678	6205097.822	3	194	242	0.5
gill_20	727097.688	6206569.705	3	194	242	0
gill_21	729459.8852	6203710.321	3	194	242	0.5
gill_22	724819.0129	6203699.936	3	194	242	0.5
gill_23	725558.3549	6199596.379	3	242	290	0
gill_24	723139.1656	6196597.466	3	242	290	0
gill_25	725934.6889	6198086.476	3	242	290	0
gill_26	722814.8334	6197223.615	3	242	290	0.5
gill_27	725598.3582	6196141.572	3	242	290	0
gill_28	729180.077	6207366.7	3	242	290	0.5
gill_29	726464.6506	6204128.641	3	242	290	0.5
gill_30	728358.0963	6209351.101	3	242	290	0.5
gill_31	728758.0963	6209351.101	3	242	290	0.5
gill_32	728625.1944	6209572.206	3	242	290	0.5
gill_33	730509.3829	6206911.668	3	242	290	0.5
gill_34	730310.3581	6209095.461	3	242	290	0.5
gill_35	730678.539	6208052.812	3	290	338	0.5
gill_36	727339.9186	6203632.749	3	290	338	0.5
gill_37	727829.1001	6209700.158	3	290	338	0.5
gill_38	728229.1001	6209700.158	3	290	338	0.5
gill_39	732294.0594	6206101.113	3	290	338	0.5
gill_40	730384.1935	6206711.794	3	290	338	0.5
gill_41	730384.1935	6207111.794	3	290	338	0.5
gill_42	727400.7176	6208385.842	3	290	338	0.5
gill_43	727840.0683	6208891.876	3	338	386	0.5
gill_44	730870.1622	6208828.897	3	338	386	0.5
gill_45	726594.3155	6208298.557	3	338	386	0.5
gill_46	730796.5812	6207835.714	3	338	386	0.5
gill_47	731425.0328	6205663.606	3	338	386	0.5
gill_48	725433.5448	6209414.763	3	338	386	0.5
gill_49	725433.5448	6209814.763	3	338	386	0.5
gill_50	727759.226	6207400.415	3	482	530	0.5
gill_51	727134.9347	6203930.798	3	482	530	0.5
gill_52	730591.1846	6206650.488	3	482	530	0.5
gill_53	730991.1846	6206650.488	3	482	530	0.5
